Session_ID,Avatar_ID,Session_Duration_Min,Activity_Intensity,Path_Regularity,Action_Mean
0016c119-b707-440f-c52e-bd4b88cc829d_s0,0016c119-b707-440f-c52e-bd4b88cc829d,0.0012900307195402,775.1753387364328,0.4444741322294869,0.09542868658308865
0032b464-de24-5fd1-4a20-e7ef5b38a5bc_s0,0032b464-de24-5fd1-4a20-e7ef5b38a5bc,0.000934700091278,1069.8618833262528,0.4004373443877555,0.09532762749451128
0074bfa9-1832-70dc-bcef-7f3689245bf6_s0,0074bfa9-1832-70dc-bcef-7f3689245bf6,0.0014206013525902,703.9272475537645,0.4445304038818956,0.09524081074250244
00ec29bc-24d8-f9b8-bf4c-72e588e4ac22_s0,00ec29bc-24d8-f9b8-bf4c-72e588e4ac22,0.0018092374601484,552.719044363549,0.420875606163629,0.0908924653475861
014c1056-fc1a-1260-903f-e26c2d3bb735_s0,014c1056-fc1a-1260-903f-e26c2d3bb735,0.0007412977097553,1348.9856866413922,0.3979670474924757,0.10181979405633415
019a8deb-3ec2-ad24-dee1-1522e772e70b_s0,019a8deb-3ec2-ad24-dee1-1522e772e70b,0.0027453901023851,364.2469604342253,0.4159535671828472,0.09754008107667547
01d442ee-6da4-97b9-47c1-880ca9ba301c_s0,01d442ee-6da4-97b9-47c1-880ca9ba301c,0.0009617422653548,1039.7796125046698,0.4959883812112651,0.09261444175042044
023ab3e2-92a6-7ad1-0223-ddb2b53da495_s0,023ab3e2-92a6-7ad1-0223-ddb2b53da495,0.0020282157458085,493.0441951585125,0.4589889312264515,0.0961218082494647
024cf8c7-b029-5b0e-6268-90732b3e7dc0_s0,024cf8c7-b029-5b0e-6268-90732b3e7dc0,0.0031727660126839,315.1823979462189,0.3979101574960875,0.09637488844185371
02c12369-1464-327c-eadf-3a94458993da_s0,02c12369-1464-327c-eadf-3a94458993da,0.0026571423946862,376.3441515215003,0.4305963470449451,0.09538620110468828
03134566-a965-0116-7cbe-a58c8255885b_s0,03134566-a965-0116-7cbe-a58c8255885b,0.0012884399494497,776.1324075887866,0.5224048502142675,0.09188551498983487
03652f1d-33d4-cf93-b85d-752c7f4edf6e_s0,03652f1d-33d4-cf93-b85d-752c7f4edf6e,0.0014820289287678,674.7506614674415,0.393903199413742,0.09200959290193997
03801992-55e5-4dc7-40cb-bc6599f83614_s0,03801992-55e5-4dc7-40cb-bc6599f83614,0.0020232421177354,494.2562193788567,0.4673061116209357,0.09986371690593766
03d5d161-ce6a-6cc5-810c-fb6efaa2ab49_s0,03d5d161-ce6a-6cc5-810c-fb6efaa2ab49,0.0025662518199626,389.6733719664915,0.411228923527228,0.09755526204328184
03e01b12-125e-6e33-0480-dc1179309c3b_s0,03e01b12-125e-6e33-0480-dc1179309c3b,0.001177505186171,849.2531597688638,0.452594173032001,0.09491783310319597
